no_pret;fonds;vm_courus;solde_capital;taux_hyp;date maturity;frequence;versement;assurance;type;credit_rating;devise;maturity;month_first_cf;fx_rate_bop;fx_rate_eop;Portefeuille;OwnAsset group;ESCAP group
5870662;19012501;1551353.6100137;1572726.81;0.017079999999999998;2026-04-01;12;4887.98;CMHC;mortgage;9;CAD;10;1;1.0;1.0;19012501;FAUX;EXCLUDED
7547326;10242501;3446688.8353304;3498958.68;0.0311;2026-01-15;12;19198.1;Uninsured;mortgage;9;USD;7;1;1.374950000001;1.3645;10242501;FAUX;EXCLUDED
8006561;10012503;746577.8928676;709843.3;0.05572;2030-03-10;12;14181.95;CMHC;mortgage;9;CAD;57;1;1.0;1.0;10012503;FAUX;CA_TPM
8006983;10012502;7106023.2758676;7011849.64;0.05162;2026-04-01;12;136684.69;Uninsured;mortgage;9;CAD;10;1;1.0;1.0;10012502;FAUX;CA_TPM
1363662;10012503;8253919.2138255;8597729.49;0.03435;2035-02-16;12;38938.93;CMHC;mortgage;9;CAD;116;1;1.0;1.0;10012503;FAUX;CA_TPM
1414796;10012503;34076819.3283593;32965356.66;0.044480000000000006;2028-08-01;12;168941.74;CMHC;mortgage;9;CAD;38;1;1.0;1.0;10012503;FAUX;CA_TPM
1426022;10112501;3460489.9044577;3482809.58;0.01103;2025-10-01;12;11258.16;CMHC;mortgage;9;CAD;4;1;1.0;1.0;10112501;FAUX;CA_TPM
1426055;10112501;2321038.2205428;2336008.6;0.01103;2025-10-01;12;7551.14;CMHC;mortgage;9;CAD;4;1;1.0;1.0;10112501;FAUX;CA_TPM
1566553;10012503;702376.1867824;668744.53;0.0507;2038-01-15;12;5981.87;CMHC;mortgage;9;CAD;151;1;1.0;1.0;10012503;FAUX;CA_TPM
1649508;21012501;2237009.2036429;2257247.39;0.01279;2025-12-01;12;6591.44;CMHC;mortgage;9;CAD;6;1;1.0;1.0;21012501;FAUX;EXCLUDED
1649664;10012501;1077872.0961059;1098684.76;0.03138;2027-01-01;12;5833.43;Uninsured;mortgage;9;CAD;19;1;1.0;1.0;10012501;FAUX;CA_TPM
5834916;10032504;328027.1352653;331600.23;0.027160000000000004;2026-06-01;12;2925.59;Uninsured;mortgage;9;CAD;12;1;1.0;1.0;10032504;FAUX;EXCLUDED
5840848;10012501;5726720.746938;5547014.7;0.059539999999999996;2028-07-01;12;48347.56;Uninsured;mortgage;9;CAD;37;1;1.0;1.0;10012501;FAUX;CA_TPM
5841077;23012501;1618542.2450288;1634425.29;0.011470000000000001;2025-12-01;12;4670.36;CMHC;mortgage;9;CAD;6;1;1.0;1.0;23012501;FAUX;CA_SMI
5841176;10012501;13139478.4667746;13215356.41;0.032690000000000004;2026-06-05;12;62776.17;Uninsured;mortgage;9;CAD;12;1;1.0;1.0;10012501;FAUX;CA_TPM
5841192;10012501;765906.37426;781000.0;0.03084;2026-10-01;12;1994.39;Uninsured;mortgage;9;CAD;16;1;1.0;1.0;10012501;FAUX;CA_TPM
5841200;10062504;2001858.3586257;2039390.55;0.02939;2027-01-01;12;10624.74;Uninsured;mortgage;9;CAD;19;1;1.0;1.0;10062504;FAUX;EXCLUDED
5841242;FU031ZA;2148943.1423046;2184883.19;0.029849999999999998;2027-04-01;12;11339.43;Uninsured;mortgage;9;CAD;22;1;1.0;1.0;FU031ZA;FAUX;EXCLUDED
7547334;10242501;365311.622204;436749.72;0.0366;2026-02-15;12;2135.54;Uninsured;mortgage;9;USD;8;1;1.374950000001;1.3645;10242501;FAUX;EXCLUDED
7547359;10012504;355314.3500128;369463.29;0.028999999999999998;2026-10-10;12;1673.24;Uninsured;mortgage;9;USD;16;1;1.374950000001;1.3645;10012504;FAUX;CA_TPM
7600620;52012501;96939.1548915;91658.65;0.0725;2033-03-01;12;1285.82;Uninsured;mortgage;9;USD;93;1;1.374950000001;1.3645;52012501;FAUX;US_IAA
8010647;10012501;281688.6013543;278152.74;0.07;2025-09-10;12;2559.62;Uninsured;mortgage;9;CAD;3;1;1.0;1.0;10012501;FAUX;CA_TPM
1317312;10012503;17475702.8297287;16999899.94;0.050949999999999995;2026-12-10;12;113692.27;CMHC;mortgage;9;CAD;18;1;1.0;1.0;10012503;FAUX;CA_TPM
1342021;10012503;7879985.0949476;7908922.25;0.0375;2032-08-15;12;37861.86;CMHC;mortgage;9;CAD;86;1;1.0;1.0;10012503;FAUX;CA_TPM
1426071;10112501;5723862.609359;5760780.73;0.01103;2025-10-01;12;18621.69;CMHC;mortgage;9;CAD;4;1;1.0;1.0;10112501;FAUX;CA_TPM
1426329;FU031ZA;600597.9530447;591010.45;0.047259999999999996;2027-09-01;12;3566.47;Uninsured;mortgage;9;CAD;27;1;1.0;1.0;FU031ZA;FAUX;EXCLUDED
1565613;10012503;1241344.5142647;1172484.66;0.050199999999999995;2037-12-15;12;8368.65;CMHC;mortgage;9;CAD;150;1;1.0;1.0;10012503;FAUX;CA_TPM
1645571;10012503;1192178.6026839;1163896.2;0.085;2025-11-15;12;9414.79;CMHC;mortgage;9;CAD;5;1;1.0;1.0;10012503;FAUX;CA_TPM
33152;10052504;511340.8165448;498799.56;0.05069;2028-04-15;12;2689.09;Uninsured;mortgage;9;CAD;34;1;1.0;1.0;10052504;FAUX;CA_PAR_NL
33152;10072504;511340.8165448;498799.56;0.05069;2028-04-15;12;2689.09;Uninsured;mortgage;9;CAD;34;1;1.0;1.0;10072504;FAUX;CA_PAR_IA
33238;10032504;995229.4099878;996393.52;0.04575;2030-04-01;12;5576.5;Uninsured;mortgage;9;CAD;58;1;1.0;1.0;10032504;FAUX;EXCLUDED
5841101;23012501;1778116.3571229;1788638.69;0.02724;2025-12-18;12;8100.8;Uninsured;mortgage;9;CAD;6;1;1.0;1.0;23012501;FAUX;CA_SMI
5870654;10042504;3473583.1461625;3504989.61;0.02717;2026-04-01;12;18349.2;Uninsured;mortgage;9;CAD;10;1;1.0;1.0;10042504;FAUX;EXCLUDED
8005100;10012503;14562397.4458727;13867822.91;0.05061;2034-05-01;12;160958.68;CMHC;mortgage;9;CAD;107;1;1.0;1.0;10012503;FAUX;CA_TPM
8005159;10012503;7146385.9932467;7096996.97;0.04;2026-01-01;12;71259.45;CMHC;mortgage;9;CAD;7;1;1.0;1.0;10012503;FAUX;CA_TPM
8007825;10012503;522153.3409285;500453.94;0.05035;2028-10-10;12;6800.84;CMHC;mortgage;9;CAD;40;1;1.0;1.0;10012503;FAUX;CA_TPM
8011025;10012501;291116.0199837;292848.06;0.026000000000000002;2025-12-10;12;1912.7;Uninsured;mortgage;9;CAD;6;1;1.0;1.0;10012501;FAUX;CA_TPM
1375922;21012501;1418236.33;1417162.18;0.018260000000000002;2025-07-15;12;8958.73;CMHC;mortgage;9;CAD;1;1;1.0;1.0;21012501;FAUX;EXCLUDED
1621036;10062504;372865.531744;378400.0;0.02997;2027-01-05;12;939.21;Uninsured;mortgage;9;CAD;19;1;1.0;1.0;10062504;FAUX;EXCLUDED
1649664;FU031ZA;773256.031611;788186.86;0.03138;2027-01-01;12;4184.85;Uninsured;mortgage;9;CAD;19;1;1.0;1.0;FU031ZA;FAUX;EXCLUDED
32826;10072504;467184.1446947;497708.99;0.05727;2030-03-01;12;3118.35;Uninsured;mortgage;9;CAD;57;1;1.0;1.0;10072504;FAUX;CA_PAR_IA
5832308;10012503;63775.3536475;62652.26;0.071;2026-01-01;12;9160.55;CMHC;mortgage;9;CAD;7;1;1.0;1.0;10012503;FAUX;CA_TPM
5834544;10012503;7945955.6432995;7469709.24;0.0625;2028-01-01;12;117722.91;CMHC;mortgage;9;CAD;31;1;1.0;1.0;10012503;FAUX;CA_TPM
